회사명,직무 구분,공고명,링크,기술 스택,주요업무,자격요건
"리비바이오
기업정보 보기",백엔드 개발자,백엔드개발자(Node.js),https://jumpit.saramin.co.kr/position/49061,"Git, · Node.js, · REST API, · AWS","• 신규 프로덕트 개발 및 유지보수
• Restful API 개발
• 서비스 아키텍처 개발 및 개선
• 클라우드 환경에서의 인프라 운영","• 2년 이상의 개발 경력, 혹은 그에 준하는 역량을 보유하신 분
• Node.js를 이용한 웹서비스 및 API서버 개발 능력이 있으신 분
• RDB(MySql, Postgresql) 운용에 필요한 지식이나 경험이 있으신 분
• 프레임워크를 활용한 백엔드 개발 경험이 있으신 분
• 프로그래머라는 직종에 대하여 언제나 즐기고 자부심을 가지는 분
• 팀원과의 원활한 커뮤니케이션이 가능하신 분
• 형상 관리 도구(GIT)을 사용한 경험이 있으신 분"
"위버스브레인
기업정보 보기",백엔드 개발자,백엔드개발자 모집(3년~5년),https://jumpit.saramin.co.kr/position/48981,"PHP, · Git, · Python, · REST API, ","• 프로젝트 설계
• AI 기반 교육 어프리케이션의 API 개발
• 코드 품질 관리","• 3~5년 경력(언어, 프레임워크 무관)
• Python 기반 웹 어플리케이션 서버 개발 경험
• restfulAPI 설계 및 개발 경험
• git 버전 관리 시스템 사용 경험
• RDBMS 및 ORM 사용 경험
• 새로운 기술을 빠르게 습득할 수 있는 학습 역량"
"위버스브레인
기업정보 보기",백엔드 개발자,백엔드개발자 모집(6년~10년),https://jumpit.saramin.co.kr/position/48980,"PHP, · Git, · Python, · REST API, ","• 프로젝트 설계
• AI 기반 교육 어프리케이션의 API 개발
• 코드 품질 관리","• 6~10년 경력(언어, 프레임워크 무관)
• Python 기반 웹 어플리케이션 서버 개발 경험
• restfulAPI 설계 및 개발 경험
• git 버전 관리 시스템 사용 경험
• RDBMS 및 ORM 사용 경험
• 새로운 기술을 빠르게 습득할 수 있는 학습 역량"
"위버스브레인
기업정보 보기",백엔드 개발자,백엔드개발자 모집(11년~15년),https://jumpit.saramin.co.kr/position/48979,"PHP, · Git, · Python, · REST API, ","• 프로젝트 설계
• AI 기반 교육 어프리케이션의 API 개발
• 코드 품질 관리","• 11~15년 경력(언어, 프레임워크 무관)
• Python 기반 웹 어플리케이션 서버 개발 경험
• restfulAPI 설계 및 개발 경험
• git 버전 관리 시스템 사용 경험
• RDBMS 및 ORM 사용 경험
• 새로운 기술을 빠르게 습득할 수 있는 학습 역량"
"헤렌
기업정보 보기",백엔드 개발자,브랜다즈 백엔드개발자(자바/코틀린),https://jumpit.saramin.co.kr/position/47539,"Java, · Kotlin, · Spring Boot, · Mybatis, , , , , , , ","• 브랜다즈 서비스 백엔드는 B2C는 자바 17, Core 및 Batch 모듈은 Kotlin 1.9, SpringBoot 2.7 기반 환경에서 개발/운영 중입니다
• 작성된 코드는 프러덕션 반영 전 코드 리뷰를 거칩니다
• 비즈니스를 검증하는 테스트 코드를 필수로 작성하니다
• 기획, 마케팅 파트와 긴밀하게 협업하면서 서비스의 신규 기능을 빠르게 개발하고 레거시 코드를 개선합니다","• 3년차 이상 경력 혹은 이에 준하는 실력을 갖추신 분
• 주어진 비즈니스 요구 사항을 빠르게 이해하고 최적으로 개발할 수 있는 역량을 보유한 분
• 새로운 기술을 학습하여 꾸준히 성장할 수 있는 분
• Java/Kotlin/Spring 을 이용해 개발이 가능하신 분
• RESTful 의 개념을 알고 있으며, REST API 개발 및 운영 경험이 있으신 분
• RDBMS 를 이해하고 데이터 모델링 경험이 있으신 분
• AWS 환경에서 Infrastructure 구축 혹은 운영 경험이 있으신 분

[기술스택]
• Java, Kotlin, SpringBoot, JPA/Hibernate, Mybatis, MariaDB/MySQL, IntelliJ, DataGrip
• Github, Slack, Notion, AWS(SQS, ECS 등 다양한 서비스), Jenkins 등을 이용한 CI/CD 자동화"
"프리윌린
기업정보 보기",백엔드 개발자,매쓰플랫 백엔드 개발자 채용(6년 이상),https://jumpit.saramin.co.kr/position/48543,"TypeScript, · AWS, · Spring, · RDB, · Kotlin","프리윌린의 개발은 높은 수준의 수학교육을 모두에게 제공하기 위한 목표 아래
기획, 개발, 디자인, QA 등 다양한 역할의 구성원들이 같이 모여 노력하고 있습니다.
큰 도약을 앞둔 현 시점에서 앞으로의 성취를 함께하실 유능한 백엔드 개발자를 모십니다.

• 매쓰플랫 서비스 백엔드 개발
• 응답성 높고 확장 가능한 인프라 구축 및 운영
• 변화하는 요구사항에 맞춰 최신 구조 및 기술 도입
• Product Team과 긴밀하게 협업하여 높은 효율성과 고객가치를 실현","• 서버 개발 경력 6년 이상
• Kotlin(Java) 기반 프로그래밍 지식을 보유하신 분
• Spring Boot 이해와 활용이 가능하신 분
• 데이터베이스(RDB/NoSql) 모델 설계, ORM을 활용한 데이터베이스 개발 경험
• AWS 및 Cloud 기반의 개발 및 운영이 가능하신 분"
"윌로그
기업정보 보기",백엔드 개발자,"백엔드 개발자_Node.js, NestJS(10년 이상)",https://jumpit.saramin.co.kr/position/47581,"TypeScript, · NestJS, · GraphQL, , , , ","백엔드 설계 및 개발을 담당합니다.
• 서비스에서 사용되는 API 및 테스트 코드 작성을 통해 서비스 유지 보수성 향상
• 신규 서비스에 대한 API 및 데이터베이스 설계

[ 기술 스택 ]
• Typescript, NestJs
• GraphQL, Rest API
• AWS, Github
• Docker","• 최소 10년 이상의 개발 경력 또는 혹은 그에 준하는 역량을 갖춘 분
• Typescript 을 사용한 NestJs + TypeORM으로 개발을 해본 분
• GraphQL 을 사용한 API 를 개발해본 분
• AWS serverless lambda 에 대한 활용과 개발에 능한 분
• 높은 가용성과 확장 가능성을 가진 시스템을 설계하고 운영한 경험이 있는 분
• 다른 개발자 또는 비개발자와 커뮤니케이션이 원활 한 분"
"아웃스프링
기업정보 보기",백엔드 개발자,백엔드 개발자 채용,https://jumpit.saramin.co.kr/position/48314,"Node.js, · ExpressJS, · MySQL, · MariaDB, , , , , , ","• 웹 서비스 개발(모바일 앱 포함), 경력 3년 이상~ (팀장 레벨 및 시니어 개발자 레벨)
• Back-end 개발
• Front-end 개발 (PC 및 모바일 사용자용 인터페이스 개발)","• 컴퓨터 공학/소프트웨어 공학, 관련 전공
• 경력 3년 이상~ (팀장 혹은 시니어 레벨 개발자)

[Back-ender]
기본 A:
Node/express.js,
MySQL/MariaDB, PostgreSQL
NoSQL (e.g., MongoDB)
단위테스트 및 통합테스트

우대:
TypeScript
Nest.js
SSR(Next.js / Nuxt.js)
Native App(React Native 혹은 Flutter) 개발 경험
Cloud 기반 웹개발 및 배포 (e.g., AWS / Azure / Firebase)
CI/CD 파이프라인 구축 및 관리
AI API 활용

기본 B:
Java
Spring ( SpringBoot )
MySQL/MariaDB, PostgreSQL
NoSQL (e.g., MongoDB)
단위테스트 및 통합테스트

우대:
Android App 개발
Kotlin
Native App(React Native 혹은 Flutter) 개발
Cloud 기반 웹개발 및 배포 (e.g., AWS / Azure / Firebase)
CI/CD 파이프라인 구축 및 관리
AI API 활용

[Front-ender]
역할: 웹서비스 개발 - Front-end Development (PC/Mobile)
기본:
HTML, CSS / PostCSS
JavaScript(모던)
React (혹은 Vue) 
React Native (혹은 Flutter)

우대:
TypeScript
SSR(Next.js 혹은 Nuxt.js)
단위테스트 수행"
"휴먼밸런스
기업정보 보기",백엔드 개발자,자사 서비스 백엔드 개발자 경력 채용,https://jumpit.saramin.co.kr/position/46809,"Java, · AWS, · Node.js, · Swagger UI, , , , ","* 밸런스피터 백엔드 엔지니어는 사용자 경험을 고민하며 기술을 활용해 문제를 해결합니다.
* 직관적이고 확장성 있는 API를 설계하고, 개발 및 유지보수를 통해 사용자 경험을 개선합니다. (Swagger 기반 Open API 포함)
* 안정적인 서비스 운영을 위해 AWS 인프라를 효율적으로 구축하고 최적화합니다. (EC2, S3, PostgreSQL 등)
* 성능 최적화와 코드 품질 개선을 통해 서비스의 안정성과 속도를 높입니다.
* 데이터베이스 구조를 설계하여 원활한 서비스 운영을 지원합니다.
* CI/CD 자동화를 통해 배포 프로세스를 개선합니다.","* 4년 이상의 서버 개발 경험 또는 이에 준하는 역량을 갖추신 분
* Node.js 기반의 백엔드 프레임워크 (Express, Nest) 에 대한 깊은 이해를 보유하신 분
* Typescript를 활용한 상용 서비스 개발 및 운영 경험이 있는 분
* AWS 및 클라우드 환경에서 서비스 구축 및 운영 경험이 있는 분
* Git/Github을 활용한 협업 경험이 있으며, 코드 리뷰와 협업 프로세스에 익숙한 분
* 데이터베이스 성능 최적화 및 트랜잭션 설계 경험이 있는 분"
"EVAR
기업정보 보기",백엔드 개발자,전기차 충전 백엔드 개발자 채용,https://jumpit.saramin.co.kr/position/48933,"AWS, · Docker, · MSA, · Node.js, , , ","EVAR의 백엔드 개발자는 AWS 기반 인프라 구축부터 서버 개발, 프론트엔드 구성까지 다양한 역할을 맡아, 고객 맞춤형 B2B 개발 프로젝트를 주도적으로 이끌어가는 중요한 역할을 하고 있어요!

백엔드 개발자가 속한 Platform 팀은 고객사의 비즈니스 요구 사항에 맞춰 최적화된 솔루션을 제공하며, 유연하고 효율적인 개발을 통해 최고의 결과를 만들어냅니다. 또한 MSA(Micro Software Architecture) 기반의 소프트웨어 아키텍처 수립, 충전 서비스 플랫폼 개발, 데이터 파이프라인 구축 및 관리, 그리고 AWS 인프라 구성을 통해 고객에게 안정적이고 혁신적인 서비스를 제공하는 데 최선을 다하고 있습니다.

• 전기차 충전 서비스 개발 및 유지보수
• 확장성과 유지보수성을 고려한 코드 작성 및 점진적 리팩토링
• 코드 리뷰를 통한 코드 개선
• 소프트웨어 아키텍쳐 수립 및 클라우드 인프라 설계, 관리
• 고객사 맞춤형 B2B 개발 프로젝트","• 웹 기술 전반에 대한 이해
• NestJS 또는 express 기반의 서버 개발 경험
• 요구사항에 기반한 데이터 구조 설계 및 시스템 구현 능력
• 기술적인 문제해결 능력 및 커뮤니케이션 스킬
• 3년 이상의 개발 경력"
